repo	theme	total	open	top
microsoft/vscode-copilot-chat	compaction	1	0	#5091(0,closed) Ollama BYOK agent conversation compaction appears to use incorrect tok
anthropics/claude-code	ignores_instructions	5948	988	#6235(6559,closed) Feature Request: Support AGENTS.md. || #42796(3286,closed) [MODEL] Claude Code is unusable for complex engineering tasks with the || #45596(2079,open) Bring Back Buddy — A Consolidated Plea from the Community || #17118(1416,closed) [Feature Request] Support for OpenCode and Max plan || #3382(1373,closed) [BUG] Claude says "You're absolutely right!" about everything
openai/codex	ignores_instructions	925	432	#2109(689,closed) Event Hooks || #8745(573,open) LSP integration (auto-detect + auto-install) for Codex CLI || #28879(560,closed) Codex (gpt-5.5, Plus plan) — rate-limit cost per token jumped ~10-20x  || #2101(505,closed) Plan Mode || #9203(464,open) Please make "/undo" back
google-gemini/gemini-cli	ignores_instructions	776	25	#4666(204,closed) Introduce a "Plan Mode" to plan complex code changes by blocking the u || #11506(165,closed) Add Skill to Gemini CLI like Claude Code || #22141(164,closed) Gemini CLI becomes extremely slow (1+ HOURS) / stuck during small code || #3132(150,open) [Agents] Post V1.0 Work || #2779(103,closed) Feature Request: Implement a Hooks System for Custom Automation and Wo
anomalyco/opencode	ignores_instructions	572	88	#7101(167,closed) [FEATURE]: Allow custom system prompts in global, project or custom di || #1543(152,closed) [Feature Request] Adding directories / creating workspaces || #631(138,closed) Windows Support || #3235(132,closed) Support for "Skills" || #2177(127,closed) Allow explicitly changing working directory
Aider-AI/aider	ignores_instructions	11	10	#3362(58,open) Inspiration From Claude Code || #3303(37,open) Feature suggestion: implement Cursor Rules support, or equivalent || #4363(19,open) Documentation Suggestion: Recommend AGENTS.md for Coding Conventions t || #4428(13,open) Feature Suggestion: Introduce Multi-Agent System Support for Collabora || #3903(4,open) Running with `--yes-always` doesn't run shell commands
OpenHands/OpenHands	ignores_instructions	31	10	#7752(15,open) [Enhancement] Allow for selection of multiple Git repositories || #7358(5,closed) [Feature]: Support reading in cursorrules.md files || #7302(1,closed) [Feature]: Proactively Save and Utilize Repository Lint, Test, and Typ || #9892(1,closed) Load other ‘rules’ files as microagents || #17092(0,open) docs: stale session-api-key.txt path in AGENTS.md and helm NOTES
cline/cline	ignores_instructions	171	26	#5033(19,closed) Feature Proposal: Support for Agent Rules Standard via AGENTS.md File || #1229(17,closed) Every request is super slow || #3092(12,closed) Cline doesn't follow symlinks in .clinerules files || #713(12,closed) 429 {"type":"error","error":{"type":"rate_limit_error","message":"Numb || #5897(9,closed) Unexpected AI response from Grok Code Fast Via Cline
RooCodeInc/Roo-Code	ignores_instructions	29	4	#8041(10,open) [BUG] Multi-root workspace: Roo treats one folder as root and blocks a || #1187(9,closed) VS Code LM API - New Models (Claude 3.7, o3-mini, o1) don't create/edi || #476(7,closed) DeepSeek R1 being incompetent in Roo || #5966(6,closed) Add Support for Agent Rules Standard via Project Root AGENTS.md for Un || #8049(3,closed) [ENHANCEMENT] Codex CLI provider with local login (no API key)
Kilo-Org/kilocode	ignores_instructions	82	22	#9440(5,open) Powershell being used when Bash is set as default shell || #11967(5,closed) Plan Agent behaves like Code Agent and ignores rules.md in latest vers || #12609(3,open) [FEATURE]: Add a config option to disable permissions prompts for AGEN || #11346(2,closed) plugin: official mem0 client (add_memory / search_memories hooks for c || #6091(2,closed) [MIGRATION] MemoryBank should be migrated
aaif-goose/goose	ignores_instructions	27	5	#1800(13,closed) Allow user to customize Goose prompt || #2178(6,closed) The .goosehints filename should be configurable || #10213(1,closed) rp-why CE: Configuration Effectiveness measurement for AGENTS.md adher || #10931(1,open) Recipe snapshots stored in session history fail Goose's own template v || #8699(1,closed) Create AGENTS.md for goose 2.0 architecture guidelines
anthropics/claude-agent-sdk-python	ignores_instructions	12	5	#772(4,open) Feature: session lifecycle hooks for context compaction and window thr || #794(1,closed) setting_sources=[] silently ignored due to truthiness check in _build_ || #948(0,open) No way to access the resolved system prompt (from CLAUDE.md and simila || #966(0,open) [Docs] Surface dev-deps install + test/lint commands in README (or add || #1220(0,open) Claude Code SDK permission system is a complete mess
microsoft/vscode-copilot-chat	ignores_instructions	0	0	
anthropics/claude-code	permissions	14434	2882	#6235(6559,closed) Feature Request: Support AGENTS.md. || #42796(3286,closed) [MODEL] Claude Code is unusable for complex engineering tasks with the || #45596(2079,open) Bring Back Buddy — A Consolidated Plea from the Community || #3382(1373,closed) [BUG] Claude says "You're absolutely right!" about everything || #18435(898,open) [FEATURE] Add the ability to manage multiple Claude accounts within th
openai/codex	permissions	4766	3117	#11023(1462,closed) Codex desktop app for Linux || #10450(876,closed) Remote Development in Codex Desktop App || #2109(689,closed) Event Hooks || #28224(616,closed) Codex SQLite feedback logs can write ~640 TB/year and rapidly consume  || #8745(573,open) LSP integration (auto-detect + auto-install) for Codex CLI
google-gemini/gemini-cli	permissions	1235	75	#4666(204,closed) Introduce a "Plan Mode" to plan complex code changes by blocking the u || #26856(170,closed) Your idiotic AI disobeyed me completely lied and has now cost me 300 d || #2553(168,closed) WriteFile will generate "�" character after saving to a text file || #22141(164,closed) Gemini CLI becomes extremely slow (1+ HOURS) / stuck during small code || #3132(150,open) [Agents] Post V1.0 Work
anomalyco/opencode	permissions	2214	431	#7410(420,closed) Broken Claude Max || #2072(264,open) Support for Cursor? || #1764(194,open) [FEATURE]: vim motions in input box || #12661(189,closed) [FEATURE]: Add Agent Teams Equivalent or Better || #20695(166,open) Memory Megathread
Aider-AI/aider	permissions	127	32	#2227(119,open) Feature: Add GitHub Copilot as model provider || #3362(58,open) Inspiration From Claude Code || #649(41,open) Add option to force the AI to ask the user to confirm each change befo || #2860(26,open) Feature Request: Move .aider* files into an .aider directory || #723(13,open) Feature Request:  Review Mode with Checklist for Aider
OpenHands/OpenHands	permissions	314	23	#5325(24,closed) Support podman || #2469(18,closed) Feature Request: VSCode Extension for Prompt Requests with selected co || #5781(18,closed) Allow us to use MCP servers to extend OpenHand's functionality || #8603(11,closed) GitLab OpenHands Resolver Runner—Automated Issue Resolution via CI/CD || #9482(10,closed) Feature: Implement Claude Code Hooks for OpenHands
cline/cline	permissions	381	82	#5915(58,open) "Cline uses complex prompts and iterative task execution that may be c || #653(39,closed) Can only choose file/folder from one directory in multi directory work || #4356(29,open) Improve Terminal Integration Reliability Across Platforms and Shell Co || #6398(22,closed) JetBrains fails to load  Cline with error "Healthcheck timed out" || #4523(16,closed) MCP servers are not allowed to use oauth
RooCodeInc/Roo-Code	permissions	783	161	#10566(20,open) [BUG] This credential is only authorized for use with Claude Code and  || #4047(17,closed) RFC: Native Tool Use for Top-Tier AI Models || #4842(17,closed) Integrate Claude Code || #8119(16,open) [ENHANCEMENT] Support MCP OAuth 2.1 for HTTP MCP servers (discovery +  || #5502(13,closed) Auto-approve does not apply, sometimes
Kilo-Org/kilocode	permissions	420	63	#822(19,closed) Support for multi-root workspaces || #3063(15,closed) Try to import settings from the KiloCode VSCode extension on first loa || #8108(15,closed) Why was this large "upgrade" introduced? || #5475(14,closed) Task File Not Found Error || #8415(10,closed) Tracking: Human-in-the-Loop improvements for VS Code extension
aaif-goose/goose	permissions	199	23	#6602(14,closed) Goose Desktop as a Flatpak app || #3037(14,closed) Unable to use Github Copilot device authentication flow || #8184(7,closed) Feature request: PreToolUse hooks for tool call interception || #6642(7,closed) project: goosed to ACP-over-HTTP || #1891(6,closed) desktop version in linux, auto approve in cli
anthropics/claude-agent-sdk-python	permissions	111	44	#23(18,open) non-interactive `/compact` || #10(14,open) `cwd` in ClaudeCodeOptions does not seem to be honored at all || #96(12,closed) Permission tool || #32(10,closed) JSONDecodeError: Subprocess buffer truncates large messages || #327(9,open) AskUserQuestion tool
microsoft/vscode-copilot-chat	permissions	1	0	#5098(0,closed) Sandbox settings file is writable by sandboxed process, allowing self-
anthropics/claude-code	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
openai/codex	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
google-gemini/gemini-cli	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
anomalyco/opencode	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
Aider-AI/aider	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
OpenHands/OpenHands	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
cline/cline	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
RooCodeInc/Roo-Code	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
Kilo-Org/kilocode	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
aaif-goose/goose	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
anthropics/claude-agent-sdk-python	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
microsoft/vscode-copilot-chat	cost_tokens	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
anthropics/claude-code	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
openai/codex	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
google-gemini/gemini-cli	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
anomalyco/opencode	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
Aider-AI/aider	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
OpenHands/OpenHands	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
cline/cline	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
RooCodeInc/Roo-Code	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
Kilo-Org/kilocode	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
aaif-goose/goose	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
anthropics/claude-agent-sdk-python	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
microsoft/vscode-copilot-chat	edit_failures	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
anthropics/claude-code	looping	3318	892	#42796(3286,closed) [MODEL] Claude Code is unusable for complex engineering tasks with the || #3382(1373,closed) [BUG] Claude says "You're absolutely right!" about everything || #34229(892,open) [BUG] Phone verification || #3648(837,closed) Terminal Scrolling Uncontrollably During Claude Code Interaction || #826(822,open) [BUG] Console scrolling top of history when claude add text to the con
openai/codex	looping	884	632	#28224(616,closed) Codex SQLite feedback logs can write ~640 TB/year and rapidly consume  || #8745(573,open) LSP integration (auto-detect + auto-install) for Codex CLI || #30364(429,closed) GPT-5.5 Codex reasoning-token clustering at 516/1034/1552 may be leadi || #14593(308,closed) Burning tokens very fast || #23794(251,closed) Codex Desktop no longer shows visible context/token usage indicator
google-gemini/gemini-cli	looping	583	44	#22141(164,closed) Gemini CLI becomes extremely slow (1+ HOURS) / stuck during small code || #3132(150,open) [Agents] Post V1.0 Work || #2779(103,closed) Feature Request: Implement a Hooks System for Custom Automation and Wo || #1502(94,closed) gemini-2.5-pro is [API Error: got status: 429 Too Many Requests. || #18621(86,closed) API Error: Cannot read properties of undefined (reading 'candidates')
anomalyco/opencode	looping	1041	249	#7410(420,closed) Broken Claude Max || #2072(264,open) Support for Cursor? || #27167(194,open) [FEATURE]: Add native session goals with /goal || #12661(189,closed) [FEATURE]: Add Agent Teams Equivalent or Better || #20695(166,open) Memory Megathread
Aider-AI/aider	looping	36	13	#649(41,open) Add option to force the AI to ask the user to confirm each change befo || #3830(8,closed) Feature request: "YOLO" mode || #1770(3,closed) APIConnectionError with ollama + deepseek-coder-v2 || #4153(2,open) In architect mode aider cannot remove or delete files || #44(2,closed) Enable repo map with gpt 3.5 turbo-16k?
OpenHands/OpenHands	looping	99	4	#7183(5,closed) [Bug]: AgentStuckInLoopError: Agent got stuck in a loop || #9418(4,closed) Dashboard needed of all job state || #7723(3,closed) Better mechanism for waiting for a long time || #6128(3,closed) [Bug]: cant run it with ollama (new one becouse new version i use) || #198(3,closed) Run OpenDevin on OpenDevin in GitHub Actions
cline/cline	looping	191	45	#4356(29,open) Improve Terminal Integration Reliability Across Platforms and Shell Co || #1474(16,closed) deepseek Cannot read properties of undefined (reading 'type') || #5393(16,closed) Issues when using git-oss-20b || #30(14,closed) Add support for additional models and API providers || #1533(13,closed) Cline is having trouble...
RooCodeInc/Roo-Code	looping	113	22	#4047(17,closed) RFC: Native Tool Use for Top-Tier AI Models || #6814(9,closed) currently roo code does not have good tool-calling support of openai's || #10106(8,closed) [BUG] Unknown API Error: Please contact Roo Code support || #476(7,closed) DeepSeek R1 being incompetent in Roo || #3388(5,closed) Checkbox to disable loop protection
Kilo-Org/kilocode	looping	102	16	#3967(8,closed) Minimax error: invalid params, tool call id is invalid (2013) || #4358(7,closed) Claude Code Provider: Opus 4.5 infinite loop - tool_use blocks not sup || #2547(6,closed) always failed to edit. || #5041(5,closed) v4.146.0  bug || #5484(5,closed) After clicking the Save button in the configuration, the MCP Server re
aaif-goose/goose	looping	123	20	#887(25,closed) Handle API Rate Limits sensibly || #10012(8,closed) DeepSeek V4 Pro: thinking mode reasoning_content protocol causes 400 e || #9397(5,closed) custom_deepseek provider intermittently drops reasoning_content for De || #3739(4,closed) Goose Stopping Tool Calling || #9200(2,closed) deepseek-v4-pro (thinking mode): multi-turn tool calls fail with 400 "
anthropics/claude-agent-sdk-python	looping	21	11	#374(7,closed) Structured outputs seems to be flaky || #775(5,open) StructuredOutput gets in a loop || #462(5,closed) Subprocess Transport Only Returns Init Message in FastAPI Context || #676(3,closed) [BUG] SDK MCP server tool calls fail with "Stream closed" after ~70s - || #510(3,closed) [BUG] Model serializes arrays as JSON strings in `StructuredOutput`, c
microsoft/vscode-copilot-chat	looping	1	1	#5101(0,open) Add capability declaration fields to SKILL.md frontmatter (tools, mcp-
anthropics/claude-code	model_quality	{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}		{"message":"Validation Failed","errors":[{"message":"More than five AND / OR / NOT operators were used.","resource":"Search","field":"q","code":"invalid"}],"documentation_url":"https://docs.github.com/v3/search/","status":"422"}
